Note This is not Case,Sensitive ,Data,Validation,,,,,,,,
,,,,,,,,,,,
model,game.itemproperty,,,,,,,,,,
name,,,,,,,,,,,
cost,,,,,,,,,,,
damage,,,,,,,,,,,
damage absorbed,,,,,,,,,,,
damage absorbed(%),,,,,,,,,,,
health healed,,,,,,,,,,,
soulbound,,,,,,,,,,,
action,,,,,,,,,,,
endmodel,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
model,game.item,,,,,,,,,,
name,is_unlimited_stack,max_stack_size,,,,,,,,,
Fists and Legs,TRUE,,,,,,,,,,
Bronze Dagger,FALSE,5,,,,,,,,,
Sharp Bear Claws,TRUE,,,,,,,,,,
Sharp Bronze Sword,FALSE,2,,,,,,,,,
Clothes,FALSE,5,,, ,,,,,,
Cracked Bronze Armour Set,FALSE,1,,,,,,,,,
Tough Bear Skin,TRUE,,,,,,,,,,
Shiny Bronze Armour Set,FALSE,1,,,,,,,,,
Leather Vest,FALSE,2,,,,,,,,,
Hungry Mouth,TRUE,,,,,,,,,,
Tireless Body,TRUE,,,,,,,,,,
Pitchfork,FALSE,1,,,,,,,,,
Ragged Clothes,FALSE,5,,,,,,,,,
Well-used Fist,TRUE,,,,,,,,,,
Well-off Clothes,FALSE,,,,,,,,,,
Sharp Wolf Claws,TRUE,,,,,,,,,,
Wolf Fur,TRUE,,,,,,,,,,
Grapes,FALSE,5,,,,,,,,,
endmodel,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
model,game.itempropertyinfo,,,,,,,,,,
item,item_property,value,,,,,,,,,
Fists and Legs,damage,5,,,,,,,,,
Fists and Legs,soulbound,true,,,,,,,,,
Bronze Dagger,damage,6,,,,,,,,,
Bronze Dagger,cost,40,,,,,,,,,
Sharp Bear Claws,damage,6,,,,,,,,,
Sharp Bear Claws,soulbound,true,,,,,,,,,
Sharp Bronze Sword,damage,11,,,,,,,,,
Sharp Bronze Sword,cost,100,,,,,,,,,
Clothes,damage absorbed,0,,,,,,,,,
Cracked Bronze Armour Set,damage absorbed,5,,,,,,,,,
Cracked Bronze Armour Set,cost,100,,,,,,,,,
Tough Bear Skin,damage absorbed,5,,,,,,,,,
Tough Bear Skin,soulbound,true,,,,,,,,,
Shiny Bronze Armour Set,damage absorbed,10,,,,,,,,,
Shiny Bronze Armour Set,cost,270,,,,,,,,,
Leather Vest,damage absorbed,4,,,,,,,,,
Leather Vest,cost,50,,,,,,,,,
Hungry Mouth,damage,16,,,,,,,,,
Hungry Mouth,soulbound,true,,,,,,,,,
Tireless Body,damage absorbed,12,,,,,,,,,
Tireless Body,soulbound,true,,,,,,,,,
Pitchfork,damage,4,,,,,,,,,
Pitchfork,cost,15,,,,,,,,,
Ragged Clothes,damage absorbed,0,,,,,,,,,
Well-used Fist,damage,5,,,,,,,,,
Well-off Clothes,damage absorbed,2,,,,,,,,,
Well-off Clothes,cost,85,,,,,,,,,
Sharp Wolf Claws,damage,12,,,,,,,,,
Sharp Wolf Claws,soulbound,true,,,,,,,,,
Wolf Fur,damage absorbed,8,,,,,,,,,
Wolf Fur,soulbound,true,,,,,,,,,
Grapes,health healed,10,,,,,,,,,
Grapes,cost,35,,,,,,,,,
Grapes,action,action_heal,,,,,,,,,
endmodel,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
model,game.monster,,,,,,,,,,
name,max_hp,weapon,armour,gold,gold_dev,,,,,,
Vicious Bear,20,Sharp Bear Claws,Tough Bear Skin,,,,,,,,
Thief,30,Bronze Dagger,Leather Vest,30,5,,,,,,
Wolf Pack,50,Sharp Wolf Claws,Wolf Fur,,,,,,,,
Disgraced Guard,60,Sharp Bronze Sword,Cracked Bronze Armour Set,20,4,,,,,,
Villager,40,Pitchfork,Ragged Clothes,5,1,,,,,,
Trader,45,Well-used Fist,Well-off Clothes,40,10,,,,,,
Bloodhound,99,Hungry Mouth,Tireless Body,,,,,,,,
endmodel,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
model,game.inventory,,,,,,,,,,
is_unlimited,size,,,,,,,,,,
true,0,,,,,,,,,,
false,12,,,,,,,,,,
endmodel,,,,,,,,,,,
,,,,,,,,,,,
model,game.inventoryiteminfo,,,,,,,,,,
inventory,item,stack_size,,,,,,,,,
1,Sharp Bronze Sword,5,,,,,,,,,
1,Grapes,10,,,,,,,,,
2,Bronze Dagger,3,,,,,,,,,
2,Grapes,5,,,,,,,,,
2,Grapes,5,,,,,,,,,
2,Grapes,5,,,,,,,,,
2,Grapes,5,,,,,,,,,
endmodel,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
model,game.shop,,,,,,,,,,
name,inventory,,,,,,,,,,
Village Shop,1,,,,,,,,,,
endmodel,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
model,game.character,,,,,,,,,,
user_account,inventory,,,,,,,,,,
2,2,,,,,,,,,,
endmodel,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
model,auth.user,,,,,,,,,,
username,first_name,last_name,is_active,is_superuser,is_staff,last_login,groups,user_permissions,password,email,date_joined
qasim,,,TRUE,TRUE,TRUE,2010-09-03 01:33:22,[],[],sha1$6a9f5$e0e51b5fea8a4fb079c0cbed8ae18e2098775c9c,qasim@qasim.com,2010-09-03 01:33:22
account,,,TRUE,FALSE,FALSE,2010-09-03 01:33:22,[],[],sha1$a277f$bfc8a380502e6a2b314c35cefe78930e5861b0ce,,2010-09-03 01:33:22
endmodel,,,,,,,,,,,
